fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
309,car,0.87,car_1,425,205,653,423,si,0.67,501,314,586,341,6694GYV
309,car,0.77,car_24,291,223,377,292,no,0,0,0,0,0,
309,car,0.62,car_14,392,198,447,255,no,0,0,0,0,0,
310,car,0.86,car_1,426,206,653,424,si,0.69,502,314,587,340,6694GYV
310,car,0.74,car_24,294,223,377,289,si,0.00,317,250,343,262,
310,car,0.54,car_14,393,198,447,254,no,0,0,0,0,0,
311,car,0.86,car_1,427,206,653,423,si,0.71,502,314,589,340,6694GYV
311,car,0.76,car_24,298,222,382,288,si,0.00,319,249,346,261,
311,car,0.74,car_14,394,198,448,254,no,0,0,0,0,0,
312,car,0.85,car_1,427,206,653,423,si,0.73,502,314,592,340,6694GYV
312,car,0.76,car_24,301,221,386,287,si,0.00,322,249,347,260,
312,car,0.73,car_14,395,198,448,253,no,0,0,0,0,0,
312,person,0.50,person_34,647,195,677,284,no,0,0,0,0,0,
313,car,0.83,car_1,425,205,652,423,si,0.75,502,313,592,340,6694GYV
313,car,0.76,car_24,303,221,383,287,no,0,0,0,0,0,
313,car,0.59,car_14,395,199,446,253,no,0,0,0,0,0,
313,person,0.58,person_34,646,195,676,284,no,0,0,0,0,0,
314,car,0.85,car_1,424,204,652,423,si,0.76,502,313,592,340,6694GYV
314,car,0.76,car_24,305,219,382,287,no,0,0,0,0,0,
314,car,0.58,car_14,396,199,446,252,no,0,0,0,0,0,
314,person,0.59,person_34,645,195,675,284,no,0,0,0,0,0,
315,car,0.85,car_1,424,204,652,423,si,0.78,502,313,593,340,6694GYV
315,car,0.74,car_24,308,218,384,286,no,0,0,0,0,0,
315,car,0.61,car_14,398,199,446,250,no,0,0,0,0,0,
315,person,0.62,person_34,644,195,674,285,no,0,0,0,0,0,
316,car,0.87,car_1,424,203,652,423,si,0.79,502,313,590,340,6694GYV
316,car,0.73,car_24,310,217,386,285,no,0,0,0,0,0,
316,car,0.50,car_14,400,199,446,249,no,0,0,0,0,0,
316,person,0.60,person_34,643,196,674,285,no,0,0,0,0,0,
317,car,0.86,car_1,424,204,652,423,si,0.80,502,313,590,340,6694GYV
317,car,0.74,car_24,311,217,392,284,no,0,0,0,0,0,
